-2.790956910205980357e+00	-6.823064424600330247e-01	3.019021405847681194e+00	2.251979200000000070e+00
-3.357228464532466816e-01	1.821391533764748383e+00	1.900384712939550136e+00	1.398001299999999947e-01
-4.604116791015841592e+00	-6.682642910856706475e-01	3.121572243276676151e+00	3.478455900000000156e+00
-6.379343383915984766e+00	1.756615667435049488e+00	3.138200183814372934e+00	1.280401799999999923e+01
-4.203110058790264780e+00	6.042144095526119640e-01	3.111696856107246223e+00	3.121805600000000069e+01
-3.137884298012159956e+00	1.048816826514131356e-01	3.054898057110951193e+00	4.223797300000000199e+00
-1.259548895816488878e+00	-2.769065949475790323e+00	2.588568038181852771e+00	1.879675500000000110e-01
-1.332101287490787545e-01	-1.354373960110006603e-01	1.703614226729765591e+00	4.059379000000000182e-01
-6.808036095421197142e-01	2.884830603174092012e+00	2.204386083009877595e+00	3.440929899999999875e-01
-1.381541887307178529e+00	-1.666643072771094358e+00	2.649394175245799676e+00	5.098979799999999729e-01
-7.501377864411244989e-01	1.023852187576578254e+00	2.259104097875472839e+00	4.434443299999999977e-01
